pixel,latitude,longitude,velocity_detrended,cluster,hdbscan_cluster
151837,43.67347562269666,3.308638354797155,-0.8838441604861047,-1,67
151838,43.674373824712156,3.308534457615872,-1.0838441604861049,-1,67
151839,43.67617022634799,3.308326650428847,-0.9838441604861048,-1,67
151840,43.677068425968436,3.3082227404226185,-2.083844160486105,-1,-1
151841,43.67796662479062,3.3081188261409222,-1.4838441604861048,-1,-1
151842,43.67886482281458,3.308014907583511,-0.18384416048610475,-1,55
151843,43.67976302004038,3.307910984750144,-0.08384416048610466,-1,55
151849,43.7381441299121,3.301146816952614,-0.4838441604861048,-1,2
151855,43.74532926486267,3.3003130520587036,-0.7838441604861046,-1,2
151856,43.74622740315491,3.300208812126266,-0.4838441604861048,-1,2
151857,43.74712554065253,3.30010456789952,-0.18384416048610475,-1,2
151858,43.74802367735555,3.3000003193782224,-0.2838441604861046,-1,2
151859,43.74892181326403,3.2998960665621295,-0.18384416048610475,-1,2
152212,43.63583074455705,3.3142306358366933,-0.2838441604861046,-1,-1
152214,43.63762721781939,3.314023233550407,-0.5838441604861047,-1,38
152215,43.638525453250146,3.3139195260113947,-0.7838441604861046,-1,38
152217,43.64032192171103,3.3137120981404187,-0.8838441604861047,-1,38
152218,43.64211838697142,3.3135046532105514,-0.18384416048610475,-1,38
152219,43.643016618401546,3.3134009243479268,-0.08384416048610466,-1,38
152223,43.647507763553385,3.312882216048157,-0.08384416048610466,-1,38
152224,43.64840599018432,3.3127784615891724,-0.08384416048610466,-1,38
152225,43.65020244104713,3.312570939870228,-2.1838441604861045,-1,-1
152226,43.65110066527909,3.3124671726097774,-1.2838441604861046,-1,-1
152233,43.6654721442825,3.3108063158779397,-0.08384416048610466,-1,38
152237,43.67355601134379,3.309871603482357,-0.7838441604861046,-1,67
152238,43.6744542148025,3.3097677251841158,-0.3838441604861047,-1,55
152239,43.67625061932497,3.3095599557654722,-0.08384416048610466,-1,55
152240,43.6771488203888,3.309456064644579,-0.5838441604861047,-1,-1
152241,43.68343620548888,3.3087287070929374,-0.6838441604861047,-1,81
152242,43.68792717090916,3.308209037697127,-0.08384416048610466,-1,-1
152247,43.73822462262813,3.3023814271721594,-0.4838441604861048,-1,2
152248,43.73912276872682,3.302277240523499,-0.3838441604861047,-1,2
152252,43.74451162862659,3.3016520304998336,-0.18384416048610475,-1,2
152255,43.74810418599909,3.3012351379596874,-1.1838441604861045,-1,2
152256,43.749002323355896,3.301130904090188,-0.2838441604861046,-1,2
152604,43.637707534021224,3.315255730590442,-1.0838441604861049,-1,38
152606,43.64040224223458,3.314944651740878,-0.7838441604861046,-1,38
152607,43.64130047670551,3.3148409502634273,-0.7838441604861046,-1,38
152609,43.64309694324737,3.3146335345156737,-1.6838441604861045,-1,-1
152610,43.6439951753184,3.3145298202448843,-0.08384416048610466,-1,38
152615,43.652079227968855,3.313596199856631,-0.9838441604861048,-1,-1
152627,43.66914534872968,3.311624088211312,-0.08384416048610466,-1,-1
152628,43.670043557623444,3.3115202501587016,-0.18384416048610475,-1,-1
152629,43.672738179513814,3.3112087103679437,-0.3838441604861047,-1,55
152630,43.673636385213804,3.3111048552259064,-0.8838441604861047,-1,67
152631,43.67633099752405,3.3107932641610227,-0.08384416048610466,-1,55
152632,43.6826183983138,3.310066068752188,-0.7838441604861046,-1,81
152634,43.68441479135807,3.3098582601603974,-0.3838441604861047,-1,-1
152636,43.70776761068685,3.307155191331648,-0.08384416048610466,-1,-1
152647,43.738305100548295,3.3036160404639947,-0.08384416048610466,-1,2
152648,43.73920324809436,3.3035118727536865,-0.08384416048610466,-1,2
152652,43.74279583033022,3.3030951590018947,-0.18384416048610475,-1,2
152654,43.744592116679755,3.302886776376235,-0.08384416048610466,-1,2
152656,43.74638839985084,3.302678376581451,-0.18384416048610475,-1,2
153019,43.63060190015506,3.3173174359192266,-1.7838441604861046,-1,-1
153023,43.64048254799058,3.3161772083920065,-1.3838441604861047,-1,-1
153024,43.64138078390194,3.3160735257697476,-0.4838441604861048,0,38
153026,43.64317725332484,3.3158661477346665,-0.3838441604861047,-1,38
153027,43.644075486836485,3.315762452321357,-0.2838441604861046,-1,38
153030,43.6467701825727,3.315451340495435,-1.7838441604861046,-1,-1
153031,43.64766841288537,3.315347628023985,-0.5838441604861047,-1,38
153032,43.64946487111187,3.315140190285419,-0.9838441604861048,-1,-1
153033,43.650363099025796,3.3150364650178132,-0.9838441604861048,-1,-1
153034,43.65215955245527,3.3148290016847417,-0.3838441604861047,-1,38
153035,43.653057777970886,3.3147252636187905,-0.08384416048610466,-1,38
153036,43.65575244972185,3.314414023820354,-0.2838441604861046,-1,38
153040,43.66203998917094,3.3136876482560367,-0.18384416048610475,-1,38
153041,43.66653106481033,3.3131686805010494,-0.6838441604861047,-1,-1
153046,43.67461495065101,3.3122342694956832,-0.7838441604861046,-1,67
153047,43.681800572674256,3.3114033914145833,-0.6838441604861047,-1,81
153059,43.73389480678247,3.305371336344329,-0.08384416048610466,-1,2
153060,43.734792959750514,3.305267209019105,-0.6838441604861047,-1,2
153061,43.73569111192351,3.305163077405062,-0.08384416048610466,-1,2
153064,43.738385563672544,3.304850656827577,-0.2838441604861046,-1,2
153065,43.739283712665724,3.3047465080558105,-0.2838441604861046,-1,2
153067,43.74108000826769,3.3045381976419104,-0.08384416048610466,-1,2
153457,43.627987432042154,3.3188606133842584,-0.3838441604861047,-1,-1
153459,43.62978392835161,3.3186534008952293,-1.2838441604861046,-1,13
153461,43.63158042145902,3.318446171368113,-1.4838441604861048,-1,13
153462,43.6324786668121,3.318342550214665,-2.6838441604861045,-1,-1
153467,43.63966460082746,3.3175134275976994,-1.0838441604861049,-1,-1
153468,43.64056283897894,3.317409768093262,-0.8838441604861047,-1,38
153470,43.64235931288212,3.317202436296838,-0.4838441604861048,0,38
153472,43.644155783585916,3.3169950874487264,-0.4838441604861048,-1,38
153476,43.64954517650474,3.316372938574838,-0.3838441604861047,-1,38
153478,43.654036315284564,3.3158543638983464,-0.08384416048610466,-1,-1
153480,43.65583276520152,3.315646904166874,-0.6838441604861047,-1,38
153481,43.65673098896126,3.3155431679014082,-0.4838441604861048,-1,38
153482,43.657629211921915,3.3154394273691317,-0.3838441604861047,-1,38
153483,43.659425655446114,3.315231933503169,-0.6838441604861047,-1,38
153485,43.6621203147404,3.3149206606970516,-0.2838441604861046,-1,38
153487,43.663916750275774,3.3147131241520205,-1.0838441604861049,-1,-1
153491,43.673797088622244,3.3135713678858694,-0.4838441604861048,-1,-1
153493,43.675593503397714,3.313363720318287,-1.3838441604861047,-1,-1
153494,43.68277913057915,3.31253295915145,-0.6838441604861047,-1,81
153496,43.68457552939629,3.312325226125865,-0.7838441604861046,-1,81
153500,43.7151138214421,3.308791147187522,-0.7838441604861046,-1,4
153502,43.72050283622617,3.308166972552133,-0.2838441604861046,-1,4
153504,43.73128077986305,3.3069181605420233,-0.08384416048610466,-1,2
153509,43.735771555911526,3.306397640028226,-0.08384416048610466,-1,2
153511,43.7375678607659,3.3061894018063516,-0.3838441604861047,-1,2
153512,43.738466012000785,3.306085276262357,-1.5838441604861049,-1,2
153513,43.73936416244084,3.305981146429333,-0.5838441604861047,-1,2
153514,43.74026231208613,3.305877012307031,-0.18384416048610475,-1,2
153518,43.74385490272058,3.3054604329201682,-0.3838441604861047,-1,2
153519,43.74475304839273,3.3053562773478093,-0.4838441604861048,-1,2
153880,43.627169437315864,3.320196493248734,-0.7838441604861046,-1,13
153881,43.62806768811046,3.320092912237038,-0.4838441604861048,-1,13
153882,43.628965938104514,3.3199893269670717,-0.9838441604861048,-1,13
153883,43.6298641872981,3.3198857374385877,-0.08384416048610466,-1,-1
153885,43.631660683283926,3.3196785456050963,-1.5838441604861049,-1,13
153886,43.63255893007629,3.3195749432996027,-1.5838441604861049,-1,13
153891,43.639744875608294,3.3187459714937178,-1.9838441604861048,-1,-1
153893,43.6424395919827,3.318435036759589,-1.3838441604861047,-1,-1
153894,43.643337829174534,3.3183313833242196,-0.5838441604861047,-1,38
153897,43.64693076994495,3.317916726956288,-0.18384416048610475,-1,38
153898,43.64962546712733,3.3176056899157658,-0.4838441604861048,-1,-1
153899,43.65321838551232,3.317190914163155,-1.2838441604861046,-1,-1
153900,43.6550148399093,3.3169835006973667,-1.6838441604861045,-1,-1
153903,43.65770951551145,3.3166723485063603,-0.3838441604861047,-1,38
153904,43.658607739114125,3.3165686225770994,-1.6838441604861045,-1,-1
153905,43.659505961917866,3.3164648923813043,-0.4838441604861048,-1,38
153906,43.66040418392272,3.3163611579187298,-0.5838441604861047,-1,38
153907,43.66130240512872,3.316257419189131,-2.583844160486105,-1,-1
153908,43.66399706395415,3.3159461773957775,-0.18384416048610475,-1,-1
153910,43.67567383582045,3.314597019002005,-0.8838441604861047,-1,67
153913,43.681961272494156,3.3138702501504844,-0.18384416048610475,-1,55
153914,43.68285947454203,3.3137664089393213,-0.8838441604861047,-1,-1
153915,43.68375767579222,3.3136625634550465,-0.4838441604861048,-1,81
153917,43.685554075899816,3.313454859666187,-1.0838441604861049,-1,-1
153928,43.72327774182424,3.3090891280628143,-0.5838441604861047,-1,4
153936,43.73315751752155,3.3079444740873662,-0.3838441604861047,-1,2
153939,43.735851985104276,3.307632205721459,-0.18384416048610475,-1,2
153940,43.73675013937534,3.307528107691424,-0.2838441604861046,-1,2
153941,43.738546445532975,3.3073198987677888,-0.7838441604861046,-1,2
153942,43.739444597419634,3.307215787873696,-0.8838441604861047,-1,2
153944,43.7412408988089,3.3070075532197407,-0.08384416048610466,-1,2
153945,43.74213904831158,3.3069034294593873,-0.4838441604861048,-1,2
153948,43.74483349205244,3.306591032441883,-0.3838441604861047,-1,2
154303,43.624554915677976,3.3217394372629365,-0.7838441604861046,-1,-1
154304,43.62545317031303,3.321635887866661,-1.1838441604861045,-1,13
154305,43.626351424147465,3.321532334213604,-2.2838441604861046,-1,-1
154306,43.62814792941467,3.321325214136166,-2.1838441604861045,-1,-1
154307,43.62904618084752,3.321221647711298,-0.08384416048610466,-1,-1
154310,43.631740930343696,3.3209109228891935,-0.4838441604861048,-1,-1
154311,43.63263917857512,3.320807339431851,-0.2838441604861046,-1,-1
154313,43.639825135621656,3.319978518438582,-0.3838441604861047,-1,38
154314,43.64072337665257,3.319874896643967,-0.18384416048610475,-1,38
154315,43.64162161688369,3.3197712705884426,-1.4838441604861048,-1,-1
154317,43.64341809494664,3.3195640056936893,-0.18384416048610475,-1,38
154320,43.64970574297959,3.3188384443076537,-0.4838441604861048,-1,38
154324,43.65689157848588,3.3180089754897546,-0.3838441604861047,-1,38
154325,43.65778980432832,3.317905272696287,-0.5838441604861047,-1,38
154326,43.6586880293718,3.317801565637289,-0.18384416048610475,-1,38
154328,43.66048447706222,3.3175941387217365,-1.1838441604861045,-1,-1
154329,43.66138269970923,3.3174904188646943,-4.283844160486105,-1,-1
154331,43.66317914260708,3.3172829663508594,-0.08384416048610466,-1,38
154334,43.67485594359241,3.3159341088925594,-2.6838441604861045,-1,-1
154335,43.68024519086093,3.3153113159300585,-1.4838441604861048,-1,-1
154337,43.6820416002346,3.3151036841055683,-0.08384416048610466,-1,-1
154338,43.68293980372495,3.3149998617852905,-0.2838441604861046,-1,81
154339,43.68383800641767,3.314896035192666,-0.2838441604861046,-1,81
154340,43.68473620831285,3.3147922043274516,-0.6838441604861047,-1,81
154341,43.68563440941051,3.3146883691894042,-1.0838441604861049,-1,-1
154343,43.69281998948703,3.313857534233727,-0.9838441604861048,-1,-1
154344,43.693718183409196,3.313753660629197,-0.3838441604861047,-1,-1
154354,43.72335813598193,3.3103234317905006,-0.2838441604861046,-1,4
154370,43.738626864269044,3.3085545243433216,-0.08384416048610466,-1,2
154371,43.73952501760205,3.3084504323883555,-0.8838441604861047,-1,2
154374,43.7422194728334,3.308138130796035,-1.4838441604861048,-1,2
154375,43.7431176229881,3.3080340216886324,-1.4838441604861048,-1,2
154752,43.62373687959052,3.32307519313256,-2.583844160486105,-1,-1
154753,43.62463513646447,3.322971666834312,-0.9838441604861048,-1,13
154754,43.625533392537825,3.3228681362802837,-1.2838441604861046,-1,-1
154755,43.6291264088261,3.3224539715015164,-1.0838441604861049,-1,13
154759,43.63271941230847,3.322039738610858,-0.08384416048610466,-1,-1
154761,43.634515909248364,3.321832596618716,-1.4838441604861048,-1,13
154762,43.63721064865769,3.3215218516915317,-1.9838441604861048,-1,-1
154763,43.63990538086748,3.321211068431751,-0.08384416048610466,-1,38
154765,43.641701865008244,3.321003858292774,-0.4838441604861048,-1,38
154767,43.643498345950164,3.3207966311122314,-0.08384416048610466,-1,38
154773,43.64888776958666,3.320174847301793,-0.08384416048610466,-1,-1
154774,43.65158247061325,3.319863897858334,-0.7838441604861046,-1,-1
154777,43.65966653054173,3.3189308192962765,-0.5838441604861047,-1,38
154778,43.66056475542821,3.3188271225774755,-0.5838441604861047,-1,38
154781,43.668648743469625,3.3178936601317948,-0.4838441604861048,-1,-1
154782,43.669546960371,3.317789920747095,-1.5838441604861049,-1,-1
154783,43.67493624501761,3.3171673948038767,-1.7838441604861046,-1,-1
154784,43.67583445633222,3.317063625538562,-0.08384416048610466,-1,-1
154786,43.685714728140425,3.315921881770756,-0.2838441604861046,-1,81
154787,43.686612929883076,3.3158180612537684,-2.1838441604861045,-1,-1
154788,43.69379851512341,3.31498734328532,-0.08384416048610466,-1,-1
154790,43.69559490346277,3.3147796210530047,-0.18384416048610475,-1,-1
154795,43.72074400569258,3.3118697134136,-0.9838441604861048,-1,-1
154805,43.733318322845584,3.3104135010695086,-0.7838441604861046,-1,2
154810,43.74140173016253,3.3094769210803148,-0.4838441604861048,-1,2
154811,43.742299882558,3.309372835203014,-0.9838441604861048,-1,2
154814,43.744994334978,3.3090605518438725,-0.3838441604861047,-1,2
154815,43.745892484195984,3.3089564488142615,-0.2838441604861046,-1,2
154816,43.74768878024927,3.308748229888727,-0.08384416048610466,-1,2
155202,43.62471534248779,3.3242038994501777,-5.683844160486105,-1,-1
155203,43.627410112620495,3.3238933515493807,-5.583844160486105,-1,-1
155209,43.63549437980194,3.322961478010492,-1.4838441604861048,-1,-1
155214,43.64537506280721,3.3218220530729035,-0.3838441604861047,-1,38
155215,43.64627330191908,3.3217184434289226,-0.8838441604861047,-1,-1
155217,43.654357417957875,3.3207857648660277,-0.18384416048610475,-1,38
155225,43.66244146927846,3.3198527409977143,-0.6838441604861047,-1,38
155227,43.67591474442115,3.3182969333903136,-1.1838441604861045,-1,-1
155228,43.67771116753974,3.318089419823157,-0.7838441604861046,-1,-1
155230,43.680405796234524,3.317778117451643,-0.5838441604861047,-1,-1
155231,43.68220221137617,3.3175705611872734,-0.4838441604861048,-1,81
155233,43.685795032089466,3.317155397409695,-0.6838441604861047,-1,-1
155234,43.68669323527432,3.3170515957870386,-1.3838441604861047,-1,-1
155259,43.74058396900795,3.3108156722640483,-0.3838441604861047,-1,2
155260,43.74148212364386,3.310711609615262,-1.1838441604861045,-1,2
155261,43.74238027748533,3.310607542679778,-0.08384416048610466,-1,2
155262,43.74327843053244,3.3105034714573516,-0.7838441604861046,-1,2
155263,43.74417658278523,3.3103993959477376,-0.18384416048610475,-1,2
155636,43.631981582931566,3.3246080730187377,-0.18384416048610475,-1,-1
